id,name,category,brand,price,rating,sales,stock,shop,shop_type,material,standard_code,tags,description,source,url,image,created_at
17,康宁 耐热玻璃餐具 6件套,餐具,康宁,399.0,4.9,3200,90,康宁官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 耐高温 套装 食品级,耐热玻璃 可进烤箱微波炉,seed,https://example.com/item/17,,2026-09-01
18,比亚乐 陶瓷餐具 竹纤维4件套,餐具,比亚乐,159.0,4.6,1800,260,比亚乐专卖店,专卖店,陶瓷,GB 4806.4-2016,陶瓷 套装 环保 易清洗,釉下彩 安全无毒,seed,https://example.com/item/18,,2026-09-01
19,双立人 不锈钢餐具 24件套,餐具,双立人,499.0,4.9,2400,60,双立人官方旗舰店,官方旗舰店,不锈钢 304,GB 4806.9-2023,不锈钢 套装 抗菌 不锈钢,德系工艺 耐腐蚀,seed,https://example.com/item/19,,2026-09-01
20,米乐园 儿童餐具套装,餐具,米乐园,79.0,4.4,5100,380,米乐园专卖店,专卖店,PP 塑料,GB 4806.7-2023,儿童 母婴 硅胶 防烫,卡通分格 耐摔,seed,https://example.com/item/20,,2026-09-01
21,苏泊尔 便携餐具套装,餐具,苏泊尔,49.0,4.6,6900,420,苏泊尔官方旗舰店,官方旗舰店,不锈钢 304,GB 4806.9-2016,便携 不锈钢 套装 环保,随行三件套 收纳便携,seed,https://example.com/item/21,,2026-09-01
22,贝亲 宽口径玻璃奶瓶 240ml,奶瓶,贝亲,89.0,4.9,16000,450,贝亲官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 母婴 耐高温 宽口径,宽口易清洗 防胀气,seed,https://example.com/item/22,,2026-09-01
23,贝亲 自然实感奶瓶 160ml,奶瓶,贝亲,69.0,4.8,12000,380,贝亲官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,塑料 母婴 轻便 便携,接近母乳实感奶嘴,seed,https://example.com/item/23,,2026-09-01
24,爱得利 感温玻璃奶瓶 180ml,奶瓶,爱得利,69.0,4.7,8300,300,爱得利官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 母婴 耐高温 温度感应,感温硅胶 高温变色提示,seed,https://example.com/item/24,,2026-09-01
25,爱得利 儿童学饮杯 240ml,奶瓶,爱得利,45.0,4.5,6200,280,爱得利官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,儿童 母婴 塑料 防漏,重力球吸管 防呛,seed,https://example.com/item/25,,2026-09-01
26,米乐园 硅胶软奶瓶 200ml,奶瓶,米乐园,59.0,4.4,3400,220,米乐园专卖店,专卖店,硅胶,GB 4806.11-2016,硅胶 母婴 软瓶身,柔软瓶身 防摔易挤,seed,https://example.com/item/26,,2026-09-01
27,美的 不锈钢电热水壶 1.7L,电热水壶,美的,139.0,4.9,30000,800,美的官方旗舰店,官方旗舰店,不锈钢 304,GB 4806.9-2023,不锈钢 大容量 自动断电,304内胆 恒温保温,seed,https://example.com/item/27,,2026-09-01
28,苏泊尔 双层防烫电热水壶 1.5L,电热水壶,苏泊尔,129.0,4.8,21000,650,苏泊尔官方旗舰店,官方旗舰店,不锈钢 316,GB 4806.9-2023,不锈钢 自动断电 大容量,一体无缝内胆 双层防烫,seed,https://example.com/item/28,,2026-09-01
29,九阳 玻璃养生壶 1.5L,电热水壶,九阳,199.0,4.7,18000,520,九阳官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 耐高温 大容量 保温,玻璃壶身 多档控温,seed,https://example.com/item/29,,2026-09-01
30,哈尔斯 便携电水壶 500ml,电热水壶,哈尔斯,159.0,4.6,6800,340,哈尔斯官方旗舰店,官方旗舰店,不锈钢 316,GB 4806.9-2023,不锈钢 便携 自动断电,折叠便携 出差旅行,seed,https://example.com/item/30,,2026-09-01
31,康宁 玻璃电热水壶 1.2L,电热水壶,康宁,259.0,4.7,3200,180,康宁官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 耐高温 高端,壶身通透 高端质感,seed,https://example.com/item/31,,2026-09-01
32,乐美雅 耐热玻璃杯 320ml 6只,玻璃杯,乐美雅,99.0,4.8,9800,420,乐美雅官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 耐高温 套装 易清洗,法式工艺 六杯套装,seed,https://example.com/item/32,,2026-09-01
33,乐扣乐扣 玻璃水杯 450ml,玻璃杯,乐扣乐扣,69.0,4.8,7600,290,乐扣乐扣官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 耐高温 便携 防漏,硅胶圈防漏 玻璃杯身,seed,https://example.com/item/33,,2026-09-01
34,比亚乐 陶瓷马克杯 400ml,玻璃杯,比亚乐,45.0,4.5,4100,330,比亚乐专卖店,专卖店,陶瓷,GB 4806.4-2016,陶瓷 易清洗 便携,简约陶瓷 办公家用,seed,https://example.com/item/34,,2026-09-01
35,康宁 高硼硅玻璃杯 500ml,玻璃杯,康宁,79.0,4.7,5200,270,康宁官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 高硼硅 耐高温,耐冷热冲击 -20~400度,seed,https://example.com/item/35,,2026-09-01
36,苏泊尔 400ml玻璃杯,玻璃杯,苏泊尔,39.0,4.6,8800,460,苏泊尔官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 高硼硅 便携 易清洗,办公室首选 通透耐用,seed,https://example.com/item/36,,2026-09-01
37,比亚乐 陶瓷餐具 抗菌碗盘套装,陶瓷餐具,比亚乐,229.0,4.6,2600,150,比亚乐专卖店,专卖店,陶瓷,GB 4806.4-2016,陶瓷 抗菌 套装 环保,进口釉料 安全抗菌,seed,https://example.com/item/37,,2026-09-01
38,康宁 耐热陶瓷餐具 8件套,陶瓷餐具,康宁,459.0,4.8,1900,70,康宁官方旗舰店,官方旗舰店,陶瓷,GB 4806.4-2016,陶瓷 耐高温 套装,康宁白瓷 经典耐热,seed,https://example.com/item/38,,2026-09-01
39,苏泊尔 陶瓷餐具 6件套,陶瓷餐具,苏泊尔,199.0,4.7,3400,210,苏泊尔官方旗舰店,官方旗舰店,陶瓷,GB 4806.4-2016,陶瓷 套装 易清洗 抗菌,釉面光滑 不沾油污,seed,https://example.com/item/39,,2026-09-01
40,米乐园 无明确标准奶瓶 220ml,奶瓶,米乐园,39.9,4.2,2100,160,米乐园专卖店,专卖店,PP 塑料,,塑料 母婴 轻便,简易奶瓶 标注信息不全,seed,https://example.com/item/40,,2026-09-01
41,锌源 保温杯 500ml,保温杯,锌源,69.9,4.4,3300,190,锌源专营店,第三方店铺,不锈钢 304,GB 4806.9-2016,保温 不锈钢 大容量,低价走量 无旗舰资质,seed,https://example.com/item/41,,2026-09-01
42,安美适 儿童水杯 600ml,水杯,安美适,43.0,4.3,5800,300,安美适专营店,第三方店铺,PP 塑料,GB 31604.49-2016,儿童 塑料 防漏 母婴,卡通造型 销量尚可,seed,https://example.com/item/42,,2026-09-01
43,富光 便携玻璃杯 280ml,水杯,富光,29.0,4.5,15000,700,富光自营店,自营,高硼硅玻璃,GB 4806.5-2016,玻璃 便携 轻便 易清洗,小巧便携 手感细腻,seed,https://example.com/item/43,,2026-09-01
44,九阳 焖烧罐 750ml,餐具,九阳,129.0,4.7,7100,230,九阳官方旗舰店,官方旗舰店,不锈钢 316,GB 4806.9-2023,保温 不锈钢 大容量 便携,焖煮保温 一罐多用,seed,https://example.com/item/44,,2026-09-01
